"station_name","lat","lon"
"SEROWE",-22.4133333333,26.7152777778
"SHAKAWE",-18.3666666667,21.85
"SUA-PAN",-20.5472222222,26.0783333333
"TSABONG",-26.05,22.45
"TSHANE",-24.0166666667,21.8833333333
"TUBU",-19.3577777778,22.2838888889
"Txaba",-19.36879,23.23318
"VAALHOEK",-26.8672222222,20.7094444444
"WERDA",-25.2666666667,23.25
"XADE",-22.3438888889,23.0313888889
"Ambsouya",12.640814,-1.05649
"Arbinda",14.2283,-0.8626
"Arbole",12.8449,-2.0334
"BOBO-DIOULASSO",11.1666666667,-4.3
"BOBO-DIOULASSO",11.17,-4.3
"BOGANDE",12.98,-0.13
"BOGANDE",12.98,-0.16
"BOROMO",11.7333333333,-2.9166666667
"BOROMO",11.73,-2.92
"Bagassi",11.7481,-3.3044
"Bagawa",14.3339,-0.4407
"Bagré",11.5069,-0.526
"Baguéra",10.549,-5.3986
"Bakata",11.772645,-1.841748
"Bam (Tourcoing)",13.33,-1.5
"Bama",11.38,-4.39
"Banfora",10.636,-4.761
"Bani",13.7219,-0.1699
"Bantogdo",12.4375,-1.9452
"Baraboulé",14.2058,-1.8505
"Barsalogho",13.4181,-1.0555
"Barsalogho",13.42,-1.07
"Bartiébougou",12.8742,0.7899
"Basnere",13.2511,-1.2576
"Bassinko",12.391206,-1.634736
"Batié",9.88,-2.92
"Bere",11.82344,-1.14707
"Bieha",11.2543,-1.8189
"Bilanga",12.5437,0.0323
"Bingo",12.2987,-1.8304
"Bissiga",12.8649,0.054
"Bitou",11.2592,-0.3035
"Boala",12.8706,-0.7034
"Bomboroky",12.9959,-3.9487
"Bondokuy",11.8684,-3.7503
"Botou",12.67,2.05
"Boudry",12.205386,-0.731627
"Bougnounou",11.808587,-1.994847
"Boulbi",12.3018,-1.5422
"Boulsa",12.65,-0.57
"Boulsa",12.6638,-0.568
"Boura",11.0396,-2.5021
"Boura",11.05,-2.5
"Bouroum",13.6186,-0.6467
"Bourzanga",13.6863,-1.5515
"Boussouma",12.9049,-1.0787
"Boussé",12.6671,-1.8951
"Bousséra",10.3364,-3.0161
"Béréba",11.62,-3.68
"Bérégadougou",10.7699,-4.748
"Bétaré",11.4333,-1.3667
"Cassou",11.571453,-2.04656
"DEDOUGOU",12.4666666667,-3.4833333333
"DEDOUGOU",12.47,-3.48
"DORI",14.0333333333,-0.0333333333
"DORI",14.03,-0.03
"Dablo",13.7501,-1.1618
"Dakiri",13.28,-0.23
"Dano",11.1429,-3.0597
"Dapélogogo",12.6711,-1.5401
"Dargo",12.7231,-0.2778
"Dassa",12.457294,-2.688497
"Diabo",12.02,0.03
