TagInfo,TaxonName,AgeGroup,Height,Spread,DBH,AddInfo,BatBox,BirdBox,Climate_suitability,Lattitude,Longitude
327,Sorbus aucuparia,Mature,0,0,6.8, ,,,Low,51.49553469,-0.178149942
328,Quercus robur,Semi-mature,0,0,5.5, ,,,Low,51.49554615,-0.178054018
329,Quercus robur, ,0,0,6.5, ,,,Low,51.4955416,-0.17810307
330,Carpinus betulus,Mature,0,0,11.4, ,,,Low,51.49555801,-0.177927108
331,Quercus robur,Mature,0,0,11.1, ,,,Low,51.4955316,-0.178027725
332,Quercus robur,Semi-mature,0,0,14.7, ,,,Low,51.49553374,-0.177916193
333,Acer campestre,Semi-mature,0,0,9.5, ,,,Low,51.49552683,-0.177984052
334,Prunus padus, ,0,0,13.4, ,,,Low,51.49552101,-0.178332653
336,Betula pendula,Mature,0,0,13.1, ,,,Low,51.49593921,-0.178735705
340,Quercus robur,Mature,0,0,11.4, ,,,Low,51.49586019,-0.178841399
341,Quercus petraea,Mature,0,0,22.1, ,,,Not provided,51.49592563,-0.178641786
344,Quercus robur,Semi-mature,0,0,6.8, ,,,Low,51.49554302,-0.178136385
345,Carpinus betulus,Semi-mature,0,0,5.1, ,,,Low,51.49554014,-0.17822264
346,Betula alba,Mature,0,0,8.1, ,,,Not provided,51.49550668,-0.178239409
347,Carpinus betulus,Mature,0,0,12.3, ,,,Low,51.49555665,-0.178193153
348,Sorbus aucuparia,Mature,0,0,9.5, ,,,Low,51.49552323,-0.17810841
349,Ilex aquifolium, ,0,0,5.7, ,,,Low,51.49553517,-0.178100153
350,Taxus baccata,Mature,0,0,5.6, ,,,Moderate,51.49553758,-0.178167967
351,Carpinus betulus,Semi-mature,0,0,5.8, ,,,Low,51.49557388,-0.178376279
352,Taxus baccata,Semi-mature,0,0,4.3, ,,,Moderate,51.49546679,-0.178746616
353,Quercus robur,Mature,0,0,20.1, ,,,Low,51.49546902,-0.178726576
354,Betula alba,Mature,0,0,0, ,,,Not provided,51.49550399,-0.178397279
355,Carpinus betulus,Mature,0,0,10.2, ,,,Low,51.49550877,-0.178428804
356,Acer campestre,Mature,0,0,3.8, ,,,Low,51.49548238,-0.178572746
357,Quercus robur,Mature,0,0,16.6, ,,Yes,Low,51.49549701,-0.178662519
358,Quercus petraea,Mature,0,0,9.7, ,,,Not provided,51.49549191,-0.178696862
359,Acer campestre,Mature,0,0,7.1, ,,,Low,51.49550514,-0.178619118
360,Carpinus betulus,Semi-mature,0,0,7, ,,,Low,51.49557987,-0.178305711
361,Carpinus betulus,Mature,0,0,13.8, ,,,Low,51.49558146,-0.178361163
362,Prunus padus,Mature,0,0,10.8, ,,,Low,51.4954875,-0.178576981
363,Prunus padus,Mature,0,0,10.4, ,,,Low,51.49549268,-0.178740174
364,Quercus robur,Semi-mature,0,0,5.3, ,,,Low,51.49553326,-0.178728281
365,Betula alba,Mature,0,0,7.4, ,,,Not provided,51.49562799,-0.178774974
366,Corylus avellana,Semi-mature,0,0,4.1,Multi-stem,,,Not provided,51.49564201,-0.178714793
